Wall time,Step,Value
1685445052.6823971,100,0.5228358507156372
1685445185.7063165,200,0.4962141811847687
1685445315.4415467,300,0.50167316198349
1685445449.380848,400,0.49405714869499207
1685445572.6044838,500,0.486320823431015
1685445577.9641151,500,0.47256526350975037
1685445711.0801105,600,0.46175655722618103
1685445841.6467538,700,0.44270384311676025
1685445847.4853284,700,0.4249018132686615
1685445977.962447,800,0.47973355650901794
1685446108.2282786,900,0.46616649627685547
1685446113.994307,900,0.4602145850658417
1685446237.6374385,1000,0.3952992856502533
1685446368.6782763,1100,0.4531252980232239
1685446374.000574,1100,0.48304107785224915
1685446503.2223034,1200,0.46625596284866333
1685446620.9120324,1300,0.4577973186969757
1685446626.7187366,1300,0.41665613651275635
1685446756.3566036,1400,0.4286360740661621
1685446761.9731183,1400,0.43547505140304565
1685446875.478369,1500,0.3835679590702057
1685446989.3167248,1600,0.4525310695171356
1685447107.5268247,1700,0.43014103174209595
1685447113.1196516,1700,0.42800214886665344
1685447231.3943958,1800,0.42001187801361084
1685447236.5458221,1800,0.46823057532310486
1685447355.5339031,1900,0.4560868740081787
1685447484.2451313,2000,0.5265751481056213
